feature_index,transformed_feature_name,feature_importance
0,item_count_filled,0.005064622735385736
1,product_count_filled,0.004283237158691028
2,seller_count_filled,0.002953807421392768
3,total_price_filled,0.014425024456020327
4,total_freight_filled,0.03656935094609584
5,average_item_price_filled,0.020254042136023928
6,total_weight_g_filled,0.011812636005851303
7,total_volume_cm3_filled,0.011102363691757355
8,freight_ratio_filled,0.014141017500005302
9,purchase_year_filled,0.03496968955049074
10,purchase_month_filled,0.24249538636222254
11,purchase_day_of_week_filled,0.00947202326461594
12,purchase_hour_filled,0.012629069083515044
13,estimated_delivery_days_filled,0.08395768492392085
14,customer_seller_same_state_filled,0.05077896446218479
15,customer_state_ohe_SP,0.05193580567977917
16,customer_state_ohe_RJ,0.10417534756931146
17,customer_state_ohe_MG,0.011616255285936265
18,customer_state_ohe_RS,0.0
19,customer_state_ohe_PR,0.00720898698433391
20,customer_state_ohe_SC,0.000721726620632364
21,customer_state_ohe_BA,0.018882565368720315
22,customer_state_ohe_DF,0.0003863536771469438
23,customer_state_ohe_ES,0.011500758874366915
24,customer_state_ohe_GO,0.00033760584799201747
25,customer_state_ohe_PE,0.006403120105079737
26,customer_state_ohe_CE,0.026225515850371788
27,customer_state_ohe_PA,0.0016667878980709911
28,customer_state_ohe_MT,1.7676857351615024e-05
29,customer_state_ohe_MA,0.025657766237164203
30,customer_state_ohe_MS,0.0
31,customer_state_ohe_PB,0.0008432599369483019
32,customer_state_ohe_PI,0.0006468208159072903
33,customer_state_ohe_RN,0.0
34,customer_state_ohe_AL,0.01584272911340058
35,customer_state_ohe_SE,0.0025835444199197644
36,customer_state_ohe_TO,0.0
37,customer_state_ohe_RO,0.0
38,customer_state_ohe_AM,0.0
39,customer_state_ohe_AC,0.0
40,customer_state_ohe_AP,0.0
41,customer_state_ohe_RR,0.000534739038680088
42,customer_state_ohe___unknown,0.0
43,main_seller_state_ohe_SP,0.02799567930405325
44,main_seller_state_ohe_MG,0.004455828220247661
45,main_seller_state_ohe_PR,0.006119006291984874
46,main_seller_state_ohe_RJ,0.005417555024173286
47,main_seller_state_ohe_SC,0.0012212614797785823
48,main_seller_state_ohe_RS,0.0017144082812604747
49,main_seller_state_ohe_DF,0.000254334662787586
50,main_seller_state_ohe_BA,0.0002796719413803179
51,main_seller_state_ohe_GO,0.0001291743905656627
52,main_seller_state_ohe_PE,0.0
53,main_seller_state_ohe_MA,0.023036169211674593
54,main_seller_state_ohe_ES,0.0
55,main_seller_state_ohe_MT,0.0016860408209145772
56,main_seller_state_ohe_CE,0.0
57,main_seller_state_ohe_MS,0.0
58,main_seller_state_ohe_RN,5.052390865115255e-05
59,main_seller_state_ohe_PB,0.0006019687762015516
60,main_seller_state_ohe_RO,0.0
61,main_seller_state_ohe_PI,0.0
62,main_seller_state_ohe_PA,0.0
63,main_seller_state_ohe_SE,0.0
64,main_seller_state_ohe_AM,0.0025965314065827597
65,main_seller_state_ohe___unknown,0.0
66,main_category_ohe_bed_bath_table,0.0013499337822797726
67,main_category_ohe_health_beauty,0.0024740398489063484
68,main_category_ohe_sports_leisure,0.003757867535542808
69,main_category_ohe_computers_accessories,0.0
70,main_category_ohe_furniture_decor,0.0014201186735282316
71,main_category_ohe_housewares,0.004521498725404119
72,main_category_ohe_watches_gifts,0.0005578972635343123
73,main_category_ohe_telephony,0.0015380570126052465
74,main_category_ohe_auto,0.0009494066446623913
75,main_category_ohe_toys,0.0014184151106746887
76,main_category_ohe_cool_stuff,0.0021678043543160355
77,main_category_ohe_garden_tools,0.0
78,main_category_ohe_perfumery,0.00011720687490179885
79,main_category_ohe_baby,0.0021190338263405947
80,main_category_ohe_electronics,0.0006783173978223066
81,main_category_ohe_stationery,0.00045651737810018526
82,main_category_ohe_fashion_bags_accessories,0.0020906932851160022
83,main_category_ohe_pet_shop,0.00031114022268526195
84,main_category_ohe_khong_xac_dinh,0.002578486970545431
85,main_category_ohe_office_furniture,0.0003162909430999459
86,main_category_ohe_luggage_accessories,0.00010271180896069956
87,main_category_ohe_consoles_games,0.0009543779259234175
88,main_category_ohe_home_appliances,0.0021304051550582216
89,main_category_ohe_construction_tools_construction,0.0
90,main_category_ohe_musical_instruments,7.769480794596278e-05
91,main_category_ohe_small_appliances,0.0003054736932276512
92,main_category_ohe_books_general_interest,0.0027543929571393505
93,main_category_ohe_home_construction,0.0008520930853689827
94,main_category_ohe_food,0.00035743635978947456
95,main_category_ohe_furniture_living_room,0.0015314436685546515
96,main_category_ohe_home_confort,0.0032478596030066044
97,main_category_ohe_audio,0.00284322772658999
98,main_category_ohe_drinks,0.0
99,main_category_ohe_market_place,0.0
100,main_category_ohe_books_technical,0.003782258345173093
101,main_category_ohe_air_conditioning,0.0008402629726530538
102,main_category_ohe_kitchen_dining_laundry_garden_furniture,0.0007552715081676015
103,main_category_ohe_construction_tools_lights,0.0018982816422540825
104,main_category_ohe_fashion_shoes,0.0
105,main_category_ohe_industry_commerce_and_business,0.0021598193565216086
106,main_category_ohe_food_drink,7.702572250359374e-05
107,main_category_ohe_home_appliances_2,0.0018299578904422957
108,main_category_ohe_fixed_telephony,0.00041882577000466295
109,main_category_ohe_costruction_tools_garden,0.0037826980641810426
110,main_category_ohe_art,0.0
111,main_category_ohe_computers,0.001329221201103739
112,main_category_ohe_agro_industry_and_commerce,0.0006021020651758082
113,main_category_ohe_construction_tools_safety,0.0
114,main_category_ohe_signaling_and_security,0.007796512167443066
115,main_category_ohe_fashion_underwear_beach,0.0011854469788164512
116,main_category_ohe_christmas_supplies,0.0016892269625733913
117,main_category_ohe_fashion_male_clothing,0.0
118,main_category_ohe_costruction_tools_tools,0.0
119,main_category_ohe_furniture_bedroom,0.0007958657043940892
120,main_category_ohe_tablets_printing_image,0.0
121,main_category_ohe_cine_photo,0.0002438607981668356
122,main_category_ohe_small_appliances_home_oven_and_coffee,0.003276139961523819
123,main_category_ohe_dvds_blu_ray,0.000796270227342949
124,main_category_ohe_books_imported,0.0
125,main_category_ohe_party_supplies,0.0
126,main_category_ohe_furniture_mattress_and_upholstery,0.0011220401769650085
127,main_category_ohe_music,0.0035356811870785386
128,main_category_ohe_fashio_female_clothing,0.0
129,main_category_ohe_flowers,0.0
130,main_category_ohe_arts_and_craftmanship,0.0
131,main_category_ohe_fashion_sport,0.0
132,main_category_ohe_home_comfort_2,0.0
133,main_category_ohe_diapers_and_hygiene,0.0
134,main_category_ohe_la_cuisine,0.0
135,main_category_ohe_portateis_cozinha_e_preparadores_de_alimentos,0.0004489490563414808
136,main_category_ohe_cds_dvds_musicals,0.0
137,main_category_ohe_fashion_childrens_clothes,0.0
138,main_category_ohe_pc_gamer,0.0
139,main_category_ohe_security_and_services,0.0
140,main_category_ohe___unknown,0.0
